,Unnamed: 0,Topic,question,Followers,Answers,Ratio,Engagement potential,Last action,Parsed time,Question link,answers,compound,Sentiment,old_score,followers_n,engagement,sentiment_score
10,10,Indian-Institute-of-Technology-Bombay-IITB,A school has 30% students from Maharashtra. Out of these 20% are Bombay students. What is the total percentage of Bombay students?,1,2,1/2,No,Followed,2020-07-18,/A-school-has-30-students-from-Maharashtra-Out-of-these-20-are-Bombay-students-What-is-the-total-percentage-of-Bombay-students,Let the total be 100:Then 30 from the state; Students from Bombay= (30)*20/100 = 6 % ,0.0,Neutral,3,0.010869565217391304,0,3
11,11,Indian-Institute-of-Technology-Bombay-IITB,"As JEE Advanced relaxed the Boards Eligibility for 2020 IIT Admissions, is there any news that JEE Main's eligibility will be relaxed too for admissions in NIT?",7,1,7/1,Yes,Followed,2020-07-18,/As-JEE-Advanced-relaxed-the-Boards-Eligibility-for-2020-IIT-Admissions-is-there-any-news-that-JEE-Mains-eligibility-will-be-relaxed-too-for-admissions-in-NIT,"It's sure to be followed by them. If topMost institute has decided there is no choice for them , though can't be sure about BITS. Good luck👍 ",0.6172,Positive,5,0.07608695652173914,1,5
12,12,Indian-Institute-of-Technology-Bombay-IITB,How will IITs take admission in 2020 amid coronavirus?,1,1,1/1,No,Followed,2020-07-17,/How-will-IITs-take-admission-in-2020-amid-coronavirus,The HRD Ministry asserted that candidates clearing JEE-Advanced will be eligible for admission to IITs irrespective of their class 12 marks. IITs will do away with the admission criterion of minimum 75 pc marks in class 12 this year. ,0.0,Neutral,3,0.010869565217391304,0,3
13,13,Indian-Institute-of-Technology-Bombay-IITB,Which company has signed an MoU with the IIT Alumni Council to develop a 'high investor depth' platform for startups?,1,1,1/1,No,Followed,2020-07-17,/Which-company-has-signed-an-MoU-with-the-IIT-Alumni-Council-to-develop-a-high-investor-depth-platform-for-startups,BSE (formerly Bombay Stock Exchange) informed that it has signed a Memorandum of Understanding (MoU) with IIT Alumni Council to encourage the listing of startups and develop a 'High Investor Depth' platform for those startups. ,0.5106,Positive,4,0.010869565217391304,0,4
14,14,Indian-Institute-of-Technology-Bombay-IITB,I am in standard 10th. How can I prepare for IIT Hyderabad or Bombay?,1,1,1/1,No,Followed,2020-07-17,/I-am-in-standard-10th-How-can-I-prepare-for-IIT-Hyderabad-or-Bombay,Bro there is no IIT IN HYDERABAD THAT IS IIIT (TRIPPLE IT) HYDERABAD IF U WANT TO MAKE YOUR CAREER IN IT OR CS SECTOR GO FOR IIIT IF NOT GO FOR IIT BOMBAY THAT IS TOP OF ALL IITs In 10th you have to do is make your basics strong learn 9th class chemistry properly and learn periodic table Learn basic integration and diffrentiation which help you in numericals of physics class 11th because int.&diff. Are in 12th And also focus on your 10th ,0.8109,Positive,5,0.010869565217391304,0,5
15,15,Indian-Institute-of-Technology-Bombay-IITB,How were the placements for geotechnical engineering for M.Tech students in IIT Bombay?,0,1,0/1,No,Requested,2020-07-17,/How-were-the-placements-for-geotechnical-engineering-for-M-Tech-students-in-IIT-Bombay,Most of such degree holders remain jobless because Indian engineering curriculum is 40 years old. There is NO demand of such degree holders in the industry. Such research based engineering programs should not be taught at Indian engineering colleges. There are NO GeoTechnical companies in India. ,-0.51,Negative,2,0.0,0,2
16,16,Indian-Institute-of-Technology-Bombay-IITB,Has IIT Bombay started preparation for the GATE 2021?,10,1,10/1,Yes,Followed,2020-07-17,/Has-IIT-Bombay-started-preparation-for-the-GATE-2021,"It is the students who need to prepare, not the IIT’s. So, the fact that should worry you is your prep, not the agency conducting the exams. P.S. : IIT Bombay had conducted GATE multiple times in the past and they know how to do their job well. ",-0.2023,Negative,2,0.10869565217391304,1,1
17,17,Indian-Institute-of-Technology-Bombay-IITB,What I should learn on laptop I am 11 class students that's confirm I can crack IIT esaly therefore I will chose CS stream in IIT so please what can I learn how which is useful during IIT?,2,2,2/2,No,Followed,2020-07-16,/What-I-should-learn-on-laptop-I-am-11-class-students-thats-confirm-I-can-crack-IIT-esaly-therefore-I-will-chose-CS-stream-in-IIT-so-please-what-can-I-learn-how-which-is-useful-during-IIT,"HI!!! you can learn 1.coding on c++ and python . you can get the free lectures on youtube or udemy. 2.freelancing skills like graphic designing, web development ,digital marketing ,app development etc. these skills will help you to earn money in your college time by getting jobs on freelancing websites 3.you can learn affiliate marketing which will too help you to earn money in your college time. 4. you can learn english which will help to improve your speaking skills . in college you can also start your own youtube channel to gain popularity and earn money. ",0.9738,Positive,5,0.021739130434782608,1,5
18,18,Indian-Institute-of-Technology-Bombay-IITB,What I should learn on laptop I am 11 class students that's confirm I can crack IIT esaly therefore I will chose CS stream in IIT so please what can I learn how which is useful during IIT?,2,2,2/2,No,Followed,2020-07-16,/What-I-should-learn-on-laptop-I-am-11-class-students-thats-confirm-I-can-crack-IIT-esaly-therefore-I-will-chose-CS-stream-in-IIT-so-please-what-can-I-learn-how-which-is-useful-during-IIT,English. Please learn proper English grammar and sentence structure. Also learn how to ask questions on quora. All of this can be learned on a laptop. Good luck. ,0.8176,Positive,5,0.021739130434782608,1,5
19,19,Indian-Institute-of-Technology-Bombay-IITB,Is that possible that two researcher from different IITs doing research on same topic?,1,1,1/1,No,Followed,2020-07-16,/Is-that-possible-that-two-researcher-from-different-IITs-doing-research-on-same-topic,"Certainly yes. Two researchers from two different institute can have same broad research area. Two possibilities can exists when broad area of research might be a same but still significant difference in nature or specific area (which include goals at the end of research, methodology, etc) may differ, Broad and specific area of research are same but the way (nature) multiple people doing research might be different. For example, person x can perform experiments on it and person y may be working in a theoritical aspects of the same researchEven nature of research and broad area of research can be the same but specifically they might be working towards different end results or may use different methodology (different specific area). For example borh researchers working on lets say multiphase flows but person x maybe working on pressure driven bubbly flows and person y may looking on pressure and grabity driven bubbly flows",-0.2144,Negative,2,0.010869565217391304,0,2
20,20,Indian-Institute-of-Technology-Bombay-IITB,"Which can be considered good for Aerospace M.tech, IISc or IIT-B? As, IITB have 4 different M.tech specific courses while IISc has one general course and what all companies are coming to recruit nowadays and for which profile usually?",3,1,3/1,No,Followed,2020-07-21,/Which-can-be-considered-good-for-Aerospace-M-tech-IISc-or-IIT-B-As-IITB-have-4-different-M-tech-specific-courses-while-IISc-has-one-general-course-and-what-all-companies-are-coming-to-recruit-nowadays-and-for-which,"It would depend upon your inclination post M. Tech. If you are more inclined towards research, IISc is the place to be. Also, it is a gateway to ISRO. If you are more inclined towards a role in industry, then IIT-B should be the obvious choice. In general, the tech crowd at IIT-B is likely to be better than at IISc, not purely from a subject knowledge perspective but all round. ",0.2382,Positive,4,0.03260869565217391,1,5
21,21,Indian-Institute-of-Technology-Bombay-IITB,Why are people choosing IIT Bombay over all other IITs for an MTech (except IISC)? What is special in IIT Bombay for MTech mechanical?,6,1,6/1,Yes,Followed,2020-07-17,/Why-are-people-choosing-IIT-Bombay-over-all-other-IITs-for-an-MTech-except-IISC-What-is-special-in-IIT-Bombay-for-MTech-mechanical,"They are doing it wrong. They are misguided by Indian education mafia and innocent Indian engineering students. There is NO demand of any Indian Mtech(any engineering branch) degree holders in the industry, primarily because Indian engineering curriculum is 40 years old.IIT-Bombay is the best college for BTech students, there is NO meaning of ranking Indian colleges for Mtech program.The only use of the GATE score is to get a govt engineering job.Mechanical engineering is dead in 2020. It should not be taught in 2020 in Indian engineering colleges. Praveen Kumar Singh's answer to What does a meContinue ReadingThey are doing it wrong. They are misguided by Indian education mafia and innocent Indian engineering students. There is NO demand of any Indian Mtech(any engineering branch) degree holders in the industry, primarily because Indian engineering curriculum is 40 years old.IIT-Bombay is the best college for BTech students, there is NO meaning of ranking Indian colleges for Mtech program.The only use of the GATE score is to get a govt engineering job.Mechanical engineering is dead in 2020. It should not be taught in 2020 in Indian engineering colleges. Praveen Kumar Singh's answer to What does a mechanical engineer have to do to earn 1 lac per month?Most of the Indian Mtech degree holders remain jobless: Praveen Kumar Singh's answer to Do IITs have good placement records for M.Tech students?There is job opening for less than 400 Indian BTech-ME degree holders each year, in the govt sector, on an average, circa 2020.There is job opening for less than 8 Indian MTech-ME degree holders each year, in the govt sector, on an average, circa 2020.Since I have been researching about the demands of the engineering industry in India along with my own AI research hence I share such details with great accuracy. ",0.0946,Positive,3,0.06521739130434782,1,3
22,22,Indian-Institute-of-Technology-Bombay-IITB,Why are people choosing IIT Bombay over all other IITs for an MTech (except IISC)? What is special in IIT Bombay for MTech mechanical?,6,1,6/1,Yes,Followed,2020-07-17,/Why-are-people-choosing-IIT-Bombay-over-all-other-IITs-for-an-MTech-except-IISC-What-is-special-in-IIT-Bombay-for-MTech-mechanical,The placements are damn high as compared to other IITs also the environment there is best for a good personality development because the people not only study there but also make hobbies which some even make their profession and get successful in that too ,0.836,Positive,5,0.06521739130434782,1,5
23,23,Indian-Institute-of-Technology-Bombay-IITB,"What is the required rank for Aerospace Engineering in IIT Mumbai, Kanpur, and Madras? I am a general candidate.",2,1,2/1,No,Followed,2020-07-15,/What-is-the-required-rank-for-Aerospace-Engineering-in-IIT-Mumbai-Kanpur-and-Madras-I-am-a-general-candidate,If you're rank is below 50.mostly you will get direct admission in one of the IITs .But if you get more than that some IITs will call for written and interview.There is no exact bar for written exam they may call up to 250 rank.if you perform well in written conducted by these IITs then you will get selected irrespective of your rank. I got selected in IIT Kanpur with an AIR 141 and I have also seen people above 200 AIR also getting selected.But if your AIR is Below 100 chances of getting selected are higher .Hope this answers helps. ,0.8519,Positive,5,0.021739130434782608,1,5
24,24,Indian-Institute-of-Technology-Bombay-IITB,What can I do after getting a B.Des or M.Des in Animation from NID or IIT Bombay? Do foreign studies come to hire animators from these institutions?,2,1,2/1,No,Followed,2020-07-15,/What-can-I-do-after-getting-a-B-Des-or-M-Des-in-Animation-from-NID-or-IIT-Bombay-Do-foreign-studies-come-to-hire-animators-from-these-institutions,"Since I have researched for over 10+ years on Indian engineering curriculum hence I have an accurate answer to this question. There is NO demand of any BDes or MDes degree holders in the industry. Such redundant programs should not run in India. The same is the case with the BArch and MArch degree holders in the industry in India. After such degree holders get out of their college they search for some job and then they become telecallers at various BPOs. They have NO other option left with them. Presently NO building in India is producing any skilled-employable Animation expert in India and 100% of the employable Animators give 100% of the credit for their Animation skills to the youtubers teaching animation skills online. Please consult seniors and professionals before deciding ahead, like I had consulted during my research. ",0.0441,Neutral,3,0.021739130434782608,1,3
25,25,Indian-Institute-of-Technology-Bombay-IITB,What can I do after I get an M.Des in animation from NID/IIT Bombay? Do foreign film studios come to hire animators from these institutions?,3,2,3/2,No,Followed,2020-07-15,/What-can-I-do-after-I-get-an-M-Des-in-animation-from-NID-IIT-Bombay-Do-foreign-film-studios-come-to-hire-animators-from-these-institutions,"Yes they have there own department for this. The department also exposes students with Chitrakatha; a biennial student international animation festival where many national and international experts of animation world come, share and interact about their work with the students. Graduates of this programme find rewarding careers as animators, character designers, story-board artists as well as creative directors, producers, consultants and designers in many organizations such as Channel [V], MTV, Nickelodeon, Cartoon Network, Tata Interactive, Infosys, Cognizant to name a few and also as individu Continue ReadingYes they have there own department for this. The department also exposes students with Chitrakatha; a biennial student international animation festival where many national and international experts of animation world come, share and interact about their work with the students. Graduates of this programme find rewarding careers as animators, character designers, story-board artists as well as creative directors, producers, consultants and designers in many organizations such as Channel [V], MTV, Nickelodeon, Cartoon Network, Tata Interactive, Infosys, Cognizant to name a few and also as individual designpreneur or as faculty/designers at various design schools in India, including their alma mater (NID), and abroad. ",0.9783,Positive,5,0.03260869565217391,1,5
26,26,Indian-Institute-of-Technology-Bombay-IITB,What can I do after I get an M.Des in animation from NID/IIT Bombay? Do foreign film studios come to hire animators from these institutions?,3,2,3/2,No,Followed,2020-07-15,/What-can-I-do-after-I-get-an-M-Des-in-animation-from-NID-IIT-Bombay-Do-foreign-film-studios-come-to-hire-animators-from-these-institutions,Point no 1: If you are planning to go for Mdes then placements or company you are going to should not be a priority. Mdes is all about the entire work that you are gonna do for the complete semesters. Point 2: Pixar studios have come across IDC for once. Good luck ! All the best ! ,0.8585,Positive,5,0.03260869565217391,1,5
27,27,Indian-Institute-of-Technology-Bombay-IITB,What is the upcoming IITB branch change in 2018?,1,1,1/1,No,Followed,2020-07-14,/What-is-the-upcoming-IITB-branch-change-in-2018,"we know Technology will change the world because of all big MNC work on technology such as Cloud computing and AI. IIT-B and Most of the university started a specific course like ML(machine learning), AI(artificially intelligent) and cloud computing who wants to have the interest to study.  ",0.8176,Positive,5,0.010869565217391304,0,5
28,28,Indian-Institute-of-Technology-Bombay-IITB,Can I get admission in IIT Bombay with a good rank in the JEE but less than 75% in 12th?,2,2,2/2,No,Followed,2020-07-14,/Can-I-get-admission-in-IIT-Bombay-with-a-good-rank-in-the-JEE-but-less-than-75-in-12th,For getting admission into NIT/IIT you must have to score at least 75% aggregate in your 12th board. For general categories candidate must have to score at least 75% or must be in top 20 percentile of your board and for sc/ST candidate this eligiblity is 65%. So if you are in top 20 percentile of your board or you are a SC/ST candidate then you can get admission in to IIT Bombay as per your JEE rank. I hope you understood it.upvote it and follow me if it helps you. ,0.7964,Positive,5,0.021739130434782608,1,5
29,29,Indian-Institute-of-Technology-Bombay-IITB,Can I get admission in IIT Bombay with a good rank in the JEE but less than 75% in 12th?,2,2,2/2,No,Followed,2020-07-14,/Can-I-get-admission-in-IIT-Bombay-with-a-good-rank-in-the-JEE-but-less-than-75-in-12th,"Yeah may be. After clearing IITJEE mains specially advanced, there will release a list of cutoffs for different states to get into IIT colleges. If you get your score in one of those then congrats, you're getting admission in IIT Bombay. If you're satisfied with it then please follow me to get more. Thanks. ",0.9312,Positive,5,0.021739130434782608,1,5
30,30,Indian-Institute-of-Technology-Bombay-IITB,How will the rating of Kalpit Veerwal's IITJEE app increase?,1,2,1/2,No,Requested,2020-07-13,/How-will-the-rating-of-Kalpit-Veerwals-IITJEE-app-increase,"I will not talk about kalpit veerwal or his app, I will just take you to the rating thing APP RATINGS App rating is a mean / average, eg : suppose I give 5 and u give 1 , so rating will come to be 3.After a certain time rating of an Android / IOS app just stops increasing, there is just minute changes in it  This is the rating card for the last night, it's 3.1 . Ok let me show you how it works, I saw this question and eventually come across this method My first aim is to find the number of people in 5 raters, 2 raters, 3 raters, etc. First I measured the length of the smallest segment that is the 2  Continue ReadingI will not talk about kalpit veerwal or his app, I will just take you to the rating thing APP RATINGS App rating is a mean / average, eg : suppose I give 5 and u give 1 , so rating will come to be 3.After a certain time rating of an Android / IOS app just stops increasing, there is just minute changes in it  This is the rating card for the last night, it's 3.1 . Ok let me show you how it works, I saw this question and eventually come across this method My first aim is to find the number of people in 5 raters, 2 raters, 3 raters, etc. First I measured the length of the smallest segment that is the 2 or 3 or 4 green segment. These are approx. lengths…  People is in fraction which doesn't matter as I'm concern with app rating and now many will see for exact number of people ,which doesn't matter, ur lenght can different from me but solution will remain the same!    So I reached at the desired rating, which is 3.1 CREATE A PROBLEM - THINK- USE BASIC MATHEMATICS - REACH TO SOLUTION HOW CAN IT INCREASE Well you can't delete the ratings and reviews by ur self, so if people in mass will rate it 5 star or if 1 raters edit there rating then too it will work For ex.  Which is quite difficult but who knows  So it means after a certain time rating remains constant or there is a small increase which is as samll as a dx (differential ) BC FREAK END OF DAYS ",0.8896,Positive,5,0.010869565217391304,0,5
31,31,Indian-Institute-of-Technology-Bombay-IITB,How will the rating of Kalpit Veerwal's IITJEE app increase?,1,2,1/2,No,Requested,2020-07-13,/How-will-the-rating-of-Kalpit-Veerwals-IITJEE-app-increase,"They hire cheap digital marketer who easily fake the ratings, they rate the app from different google accounts, it's pretty normal in marketing. This guy already lost respect from everywhere, atleast from wise people.. His website look like build by some 8th class boy, that's too in wordpress.. he knows that in computer science, he'll be a mediocre always or even worse.. as most IITians lost their IIT tag in one or two years of job, then they have to struggle like everybody else. He's pretty smart, in an answer he said “i won't sit for placements” LOL why not accept that you're incompetent.. Not j Continue ReadingThey hire cheap digital marketer who easily fake the ratings, they rate the app from different google accounts, it's pretty normal in marketing. This guy already lost respect from everywhere, atleast from wise people.. His website look like build by some 8th class boy, that's too in wordpress.. he knows that in computer science, he'll be a mediocre always or even worse.. as most IITians lost their IIT tag in one or two years of job, then they have to struggle like everybody else. He's pretty smart, in an answer he said “i won't sit for placements” LOL why not accept that you're incompetent.. Not just kalpit but a guy sachin rana too teaching on unacademy.. IITs are really overrated, these guys do not have any interest in learning computer science, the only reason they chose CS is money and ofcourse rank. India is the only country where we chose branches based on our rank in an exam which have nothing to do with CS, strange na? And yes, the reason for selling courses = MONEY, why? Look his course costs 5000 X 3500(this much enrollment acc to him) = 105,00000 that's around 105 LAKH .. wtf.. bro this is TOO MUCH, and that's almost all profit, that too in just 4–5 months of selling crash course, that too you have to make only ONCE. This works in india because of millions of starving aspirants. Can you run this same Business in any developed country? Simply no. This ain't entrepreneurship dude, this is “CHEAP BUSINESS” by loosers. ",-0.5936,Negative,2,0.010869565217391304,0,2
32,32,Indian-Institute-of-Technology-Bombay-IITB,What does it need to get into IIT Bombay or MIT? I am in class 10 and wanted to know it (BTW big fan sir… I am a IIT aspirant since 7th standard),0,1,0/1,No,Requested,2020-07-13,/What-does-it-need-to-get-into-IIT-Bombay-or-MIT-I-am-in-class-10-and-wanted-to-know-it-BTW-big-fan-sir-I-am-a-IIT-aspirant-since-7th-standard,"Man I've seen hundreds of these kinds of questions on quora especially by Indian high schoolers who want to attend 'IIT' or 'MIT' because those are the only institutes which will supposedly give you 'high respect' and most importantly high 'packages'. Just chasing after a university for its reputation or 'placements' is utter bullshit and you would never get in MIT until and unless you have a very compelling reason to why you want to attend one of the best engineering institutes in the world. As for IIT,JEE advanced is the only way. Please do some research and grow up. There is a whole world out there apart from IIT and MIT. ",0.8977,Positive,5,0.0,0,5
33,33,Indian-Institute-of-Technology-Bombay-IITB,What should I do to get a seat in IIT Bombay CSE branch by only the preparation of remaining months for JEE advanced 2021?,1,1,1/1,No,Followed,2020-07-13,/What-should-I-do-to-get-a-seat-in-IIT-Bombay-CSE-branch-by-only-the-preparation-of-remaining-months-for-JEE-advanced-2021,StudyStudyStudyDREAM ON!!!! ,0.0,Neutral,3,0.010869565217391304,0,3
34,34,Indian-Institute-of-Technology-Bombay-IITB,Do non-core companies recruit M.Tech students at IIT B/M/D/KGP/K?,3,1,3/1,No,Followed,2020-07-13,/Do-non-core-companies-recruit-M-Tech-students-at-IIT-B-M-D-KGP-K,"Yes. They generally send out a notification mail with the job description, expectations and all eligible branches including those that are non core only if they think the non core branches have something that has in common with the job description. They don’t just call in randomly. It’s the general scenario. But core applicants may tend to have high priority over non core applicants for specifics jobs, I’m not sure. You need to prove when given the chance. ",0.228,Positive,4,0.03260869565217391,1,5
35,35,Indian-Institute-of-Technology-Bombay-IITB,"How is life at IIT, Jodhpur?",28,9,28/9,No,Followed,2020-06-28,/How-is-life-at-IIT-Jodhpur,"hello, thanks for A2A. I will describe life at IIT Jodhpur apart from academics through some events and fests that we celebrate here like ganesh chaurthi, diwali, holi ect: Freshenza:First event for a first yearite dedicated to them  Janmashtami   Ganesh Chaturthi      Dandiya Night Diwali celebration:  Lohri celebration:Lohri celebration is special for first year guess why? because only first year arranges lohri celebration. I still remember that cycle trip we had to collect ‘khatiyas’ to place around the fire, one of the sweet memories from my first year.      Republic Day:   Holi:Like other festivals holi is also  Continue Readinghello, thanks for A2A. I will describe life at IIT Jodhpur apart from academics through some events and fests that we celebrate here like ganesh chaurthi, diwali, holi ect: Freshenza:First event for a first yearite dedicated to them  Janmashtami   Ganesh Chaturthi      Dandiya Night Diwali celebration:  Lohri celebration:Lohri celebration is special for first year guess why? because only first year arranges lohri celebration. I still remember that cycle trip we had to collect ‘khatiyas’ to place around the fire, one of the sweet memories from my first year.      Republic Day:   Holi:Like other festivals holi is also celebrated here  Spandan:Spandan is the intra college cultural fest of IIT Jodhpur. It is participated by an enthusiastic crowd, eager to portray their talents in the cult arena. Versatility in the various categories is extensive, with competitions in fields like drama, dance, singing, literature, photography events, informals and fashion show among others. Three days of Spandan awaken the whole campus leaving them to prepare all night. Every year there is a new theme and team names are decided accordingly, this year it was “bollywood” and ug girls team “Dhakad Chhoriyan” stood first XD.       Nimble:Nimble, the intra college technical fest provides a platform to the techno buds of the college to show their hidden talent. Nimble comprises of four action packed days filled with a great variety of tech and science events ranging from intense mind boggling events such as robotics, Electronics, programming to fun filled events like angry bird, quizzes, crypto etc. Apart from the events, the talks by eminent personalities in the field of Science and Technology are organized to motivate students to work harder as there is no end to discoveries and inventions.          Framed:Framed Is Art Exhibition organized by IIT Jodhpur which recieves entries from various places. It is visited by Students from other Institutes as well and is appreciated alot.   Varchas:   Ignus:Ignus is inter college socio-culutral fest. Ignus witnesses the participation of numerous stalwarts in the various arenas offered. The fest gives a platform to some of the country’s best hidden and unfathomed talents. With the total footfall amounting to about 1015 thousand, Ignus has witnessed the absorbing performance of famous artists like Andrew Newton, the band Pentagram, Shilpa Rao, Javed Ali among others.     Scribble Night:The night memorable for most 4th year students. Here they sign off their college life by Writing about their vivid memories on each other's TShirt. Students from other years also participate and bid adieu to their seniors.     Apart from that we have club related activities, academics related activities, parties and much more. Also We have NIFT (National Institute of Fashion Technology) adjacent to IITJ and Dr. Sarvepalli Radhakrishnan Rajasthan Ayurved University in front if it. So you can easily find students attending their fests or vice versa. Thank you! ",0.9977,Positive,5,0.30434782608695654,1,5
