Topic,Title,Followers,Answers,Ratio,Engagement potential,Last action,Parsed time,Question link
PES-University-1,Why is PES University placement cell not picking mails or calls of students who lost jobs due to covid-19? 25 plus companies have said they are withdrawing offers or not giving full time. other reputed institutions are helping students not like PES,5,1,5/1,Yes,Followed,2020-06-02,https://www.quora.com/Why-is-PES-University-placement-cell-not-picking-mails-or-calls-of-students-who-lost-jobs-due-to-covid-19-25-plus-companies-have-said-they-are-withdrawing-offers-or-not-giving-full-time-other-reputed-institutions
PES-University-1,What is PES University doing for students who lost jobs due to covid-19? Nearly 100 students have lost jobs and college is not responding to any mails or calls. Shame on the management and placement office.,5,1,5/1,Yes,Followed,2020-06-04,https://www.quora.com/What-is-PES-University-doing-for-students-who-lost-jobs-due-to-covid-19-Nearly-100-students-have-lost-jobs-and-college-is-not-responding-to-any-mails-or-calls-Shame-on-the-management-and-placement-office
PES-University-1,Is the PESSAT exam applicable for diploma students?,2,2,2/2,No,Followed,2020-06-02,https://www.quora.com/Is-the-PESSAT-exam-applicable-for-diploma-students
PES-University-1,How can I get PES 2019?,1,0,1/0,No,Followed,2020-06-02,https://www.quora.com/unanswered/How-can-I-get-PES-2019
PES-University-1,I am planning to do my M.Tech in ECE from PES University. Can I get placed in a good core company if I work hard?,3,1,3/1,No,Followed,2020-05-30,https://www.quora.com/I-am-planning-to-do-my-M-Tech-in-ECE-from-PES-University-Can-I-get-placed-in-a-good-core-company-if-I-work-hard
PES-University-1,Are vehicles allowed in PES university hostel? (north campus),1,1,1/1,No,Followed,2020-06-17,https://www.quora.comhttps://www.quora.com/Are-vehicles-allowed-in-PES-university-hostel-north-campus
PES-University-1,What is PESUs opinion on not cancelling exams? How do they intend to mint more money if the students are dead?,2,0,2/0,No,Followed,2020-06-14,https://www.quora.comhttps://www.quora.com/unanswered/What-is-PESUs-opinion-on-not-cancelling-exams-How-do-they-intend-to-mint-more-money-if-the-students-are-dead
PES-University-1,Why has PESU scored such a low ranking in the NIRF 2020? Most of the other Bangalore colleges have obtained a higher ranking.,1,1,1/1,No,Followed,2020-06-14,https://www.quora.comhttps://www.quora.com/Why-has-PESU-scored-such-a-low-ranking-in-the-NIRF-2020-Most-of-the-other-Bangalore-colleges-have-obtained-a-higher-ranking
PES-University-1,Why is the highest package offered at NIT Surathkal lower than RVCE and PES University in B.Tech CSE placements?,2,3,2/3,No,Followed,2020-06-11,https://www.quora.comhttps://www.quora.com/Why-is-the-highest-package-offered-at-NIT-Surathkal-lower-than-RVCE-and-PES-University-in-B-Tech-CSE-placements
PES-University-1,"Does PESU RR campus offer minors in management-related courses? If so, what details are available in this regard?",1,1,1/1,No,Followed,2020-06-11,https://www.quora.comhttps://www.quora.com/Does-PESU-RR-campus-offer-minors-in-management-related-courses-If-so-what-details-are-available-in-this-regard-1
PES-University-1,"Which is better for CSE, Nirma University or PES University?",1,1,1/1,No,Followed,2020-06-09,https://www.quora.comhttps://www.quora.com/Which-is-better-for-CSE-Nirma-University-or-PES-University
PES-University-1,How do you compare CSE PESIT vs RVCE IS?,1,0,1/0,No,Followed,2020-06-09,https://www.quora.comhttps://www.quora.com/unanswered/How-do-you-compare-CSE-PESIT-vs-RVCE-IS
PES-University-1,"Is the entire annual fee of PES University taken all at once every year, or is it taken semester by semester?",2,1,2/1,No,Followed,2020-06-09,https://www.quora.comhttps://www.quora.com/Is-the-entire-annual-fee-of-PES-University-taken-all-at-once-every-year-or-is-it-taken-semester-by-semester
PES-University-1,Is it possible to shift branches from EEE to ECE after the first year at PESU?,2,2,2/2,No,Followed,2020-06-08,https://www.quora.comhttps://www.quora.com/Is-it-possible-to-shift-branches-from-EEE-to-ECE-after-the-first-year-at-PESU
PES-University-1,What has PES University's response been with regards to exams during the COVID-19 pandemic?,13,29,13/29,No,Followed,2020-06-08,https://www.quora.comhttps://www.quora.com/What-has-PES-Universitys-response-been-with-regards-to-exams-during-the-COVID-19-pandemic
PES-University-1,When do the students of 6th Semester of PESIT south campus get chance to attend campus placement interviews? Are they allowed to write along with PESU students? Do they also get a chance for internship from the college along with PESU students?,2,1,2/1,No,Followed,2020-06-05,https://www.quora.comhttps://www.quora.com/When-do-the-students-of-6th-Semester-of-PESIT-south-campus-get-chance-to-attend-campus-placement-interviews-Are-they-allowed-to-write-along-with-PESU-students-Do-they-also-get-a-chance-for-internship-from-the
PES-University-1,"Which one should I choose between BMSCE, UVCE, and PES for CSE?",1,0,1/0,No,Followed,2020-06-05,https://www.quora.comhttps://www.quora.com/unanswered/Which-one-should-I-choose-between-BMSCE-UVCE-and-PES-for-CSE
PES-University-1,"Which university is better, MS Ramaiah University of Applied Sciences, PES University, or Jain University for a BBA/BCom (Bangalore)?",2,0,2/0,No,Followed,2020-06-09,https://www.quora.comhttps://www.quora.com/unanswered/Which-university-is-better-MS-Ramaiah-University-of-Applied-Sciences-PES-University-or-Jain-University-for-a-BBA-BCom-Bangalore
PES-University-1,Why is PES University placement cell not picking mails or calls of students who lost jobs due to covid-19? 25 plus companies have said they are withdrawing offers or not giving full time. other reputed institutions are helping students not like PES,5,1,5/1,Yes,Followed,2020-06-02,https://www.quora.comhttps://www.quora.com/Why-is-PES-University-placement-cell-not-picking-mails-or-calls-of-students-who-lost-jobs-due-to-covid-19-25-plus-companies-have-said-they-are-withdrawing-offers-or-not-giving-full-time-other-reputed-institutions
PES-University-1,What is PES University doing for students who lost jobs due to covid-19? Nearly 100 students have lost jobs and college is not responding to any mails or calls. Shame on the management and placement office.,5,1,5/1,Yes,Followed,2020-06-04,https://www.quora.comhttps://www.quora.com/What-is-PES-University-doing-for-students-who-lost-jobs-due-to-covid-19-Nearly-100-students-have-lost-jobs-and-college-is-not-responding-to-any-mails-or-calls-Shame-on-the-management-and-placement-office
PES-University-1,Is the PESSAT exam applicable for diploma students?,2,2,2/2,No,Followed,2020-06-02,https://www.quora.comhttps://www.quora.com/Is-the-PESSAT-exam-applicable-for-diploma-students
PES-University-1,How can I get PES 2019?,1,0,1/0,No,Followed,2020-06-02,https://www.quora.comhttps://www.quora.com/unanswered/How-can-I-get-PES-2019
PES-University-1,I am planning to do my M.Tech in ECE from PES University. Can I get placed in a good core company if I work hard?,3,1,3/1,No,Followed,2020-05-30,https://www.quora.comhttps://www.quora.com/I-am-planning-to-do-my-M-Tech-in-ECE-from-PES-University-Can-I-get-placed-in-a-good-core-company-if-I-work-hard
PES-University-1,Which college is best among PES and Jain University for a BBA admission?,1,2,1/2,No,Followed,2020-05-29,https://www.quora.comhttps://www.quora.com/Which-college-is-best-among-PES-and-Jain-University-for-a-BBA-admission
PES-University-1,Pes University have good placments of hr?,1,0,1/0,No,Followed,2020-05-26,https://www.quora.comhttps://www.quora.com/unanswered/Pes-University-have-good-placments-of-hr
PES-University-1,Which is better for MBA rims or PES?,1,0,1/0,No,Followed,2020-05-26,https://www.quora.comhttps://www.quora.com/unanswered/Which-is-better-for-MBA-rims-or-PES
PES-University-1,"Do they teach Fundamentals of design in the first year of PES? If so, How much?",2,1,2/1,No,Followed,2020-05-26,https://www.quora.comhttps://www.quora.com/Do-they-teach-Fundamentals-of-design-in-the-first-year-of-PES-If-so-How-much
PES-University-1,"Which is a better option to pursue BBA, Manipal or PES?",1,3,1/3,No,Followed,2020-05-23,https://www.quora.comhttps://www.quora.com/Which-is-a-better-option-to-pursue-BBA-Manipal-or-PES
PES-University-1,Will the new mask ready to new generation only per PES 30?,1,0,1/0,No,Followed,2020-05-22,https://www.quora.comhttps://www.quora.com/unanswered/Will-the-new-mask-ready-to-new-generation-only-per-PES-30
PES-University-1,How do I take admission in an M.Tech DS from PES University?,0,0,0/0,No,Requested,2020-05-21,https://www.quora.comhttps://www.quora.com/How-do-I-take-admission-in-an-M-Tech-DS-from-PES-University
PES-University-1,"How is the BA LLB course in PES University Bangalore regarding participation in moots, internships, study visits, etc.?",1,0,1/0,No,Followed,2020-05-21,https://www.quora.comhttps://www.quora.com/unanswered/How-is-the-BA-LLB-course-in-PES-University-Bangalore-regarding-participation-in-moots-internships-study-visits-etc
PES-University-1,How do I create a PES 20 email?,1,0,1/0,No,Followed,2020-05-19,https://www.quora.comhttps://www.quora.com/unanswered/How-do-I-create-a-PES-20-email
PES-University-1,How many students write the PESSAT for a B.Tech every year?,2,0,2/0,No,Followed,2020-05-19,https://www.quora.comhttps://www.quora.com/unanswered/How-many-students-write-the-PESSAT-for-a-B-Tech-every-year
PES-University-1,Is placement different for CSE and MCA in PES University?,1,0,1/0,No,Followed,2020-05-19,https://www.quora.comhttps://www.quora.com/unanswered/Is-placement-different-for-CSE-and-MCA-in-PES-University
PES-University-1,Is PES University good for MCA? Which is a better university for MCA PES or Reva?,1,2,1/2,No,Followed,2020-05-18,https://www.quora.comhttps://www.quora.com/Is-PES-University-good-for-MCA-Which-is-a-better-university-for-MCA-PES-or-Reva
PES-University-1,IOE question is similar with PEA weekly exam question? Is pea rank is link with ioe?,1,0,1/0,No,Followed,2020-05-25,https://www.quora.comhttps://www.quora.com/unanswered/IOE-question-is-similar-with-PEA-weekly-exam-question-Is-pea-rank-is-link-with-ioe
PES-University-1,Can I publish an undergraduate research paper while at PESU?,1,0,1/0,No,Requested,2020-05-15,https://www.quora.comhttps://www.quora.com/unanswered/Can-I-publish-an-undergraduate-research-paper-while-at-PESU
PES-University-1,How good is an MBA in PESSAT? Which stream in an MBA is good?,0,1,0/1,No,Requested,2020-05-12,https://www.quora.comhttps://www.quora.com/How-good-is-an-MBA-in-PESSAT-Which-stream-in-an-MBA-is-good
PES-University-1,Are there education loan facilities in PES Bangalore?,1,0,1/0,No,Followed,2020-05-12,https://www.quora.comhttps://www.quora.com/unanswered/Are-there-education-loan-facilities-in-PES-Bangalore
PES-University-1,"For product or industrial design, out of the colleges UID, MIT, Srishti, and PESIT, which is better from academics, coaching, infrastructure, and placement point of view?",3,0,3/0,No,Followed,2020-05-10,https://www.quora.comhttps://www.quora.com/unanswered/For-product-or-industrial-design-out-of-the-colleges-UID-MIT-Srishti-and-PESIT-which-is-better-from-academics-coaching-infrastructure-and-placement-point-of-view
PES-University-1,"I got 96.67 percentile. Where can I get a computer science seat on the basis of percentile in SASTRA, PES, or any other universities?",1,0,1/0,No,Followed,2020-05-10,https://www.quora.comhttps://www.quora.com/unanswered/I-got-96-67-percentile-Where-can-I-get-a-computer-science-seat-on-the-basis-of-percentile-in-SASTRA-PES-or-any-other-universities
PES-University-1,Can you share your number or email I want to join PES?,0,1,0/1,No,Requested,2020-05-09,https://www.quora.comhttps://www.quora.com/Can-you-share-your-number-or-email-I-want-to-join-PES
PES-University-1,Why is PES University not allowing their students to write an online exam like most other universities even though they claim to have all the infrastructure during the Corona pandemic?,1,1,1/1,No,Followed,2020-05-09,https://www.quora.comhttps://www.quora.com/Why-is-PES-University-not-allowing-their-students-to-write-an-online-exam-like-most-other-universities-even-though-they-claim-to-have-all-the-infrastructure-during-the-Corona-pandemic
PES-University-1,"I got 96.67 percentile in the Mains. Can I get good scholarships in VIT, SRM, Amrita, and PES universities?",2,3,2/3,No,Followed,2020-05-09,https://www.quora.comhttps://www.quora.com/I-got-96-67-percentile-in-the-Mains-Can-I-get-good-scholarships-in-VIT-SRM-Amrita-and-PES-universities
PES-University-1,How good is PESIT College in Bangalore for pursuing a B.Com Hons?,1,1,1/1,No,Followed,2020-05-09,https://www.quora.comhttps://www.quora.com/How-good-is-PESIT-College-in-Bangalore-for-pursuing-a-B-Com-Hons
PES-University-1,How do I remove lag in e-football PES 2020?,1,0,1/0,No,Followed,2020-05-05,https://www.quora.comhttps://www.quora.com/unanswered/How-do-I-remove-lag-in-e-football-PES-2020
PES-University-1,How will students from Delhi reach PES in August if the airlines do not commence operations?,1,1,1/1,No,Followed,2020-05-02,https://www.quora.comhttps://www.quora.com/How-will-students-from-Delhi-reach-PES-in-August-if-the-airlines-do-not-commence-operations
PES-University-1,What is the fee structure of a lateral entry student for a BTEC in EEE through the DCET in PESU?,1,0,1/0,No,Followed,2020-05-02,https://www.quora.comhttps://www.quora.com/unanswered/What-is-the-fee-structure-of-a-lateral-entry-student-for-a-BTEC-in-EEE-through-the-DCET-in-PESU
PES-University-1,What is the PES analyst of the Tata Steel Port Talbot cutting up its UK jobs?,1,0,1/0,No,Followed,2020-05-01,https://www.quora.comhttps://www.quora.com/unanswered/What-is-the-PES-analyst-of-the-Tata-Steel-Port-Talbot-cutting-up-its-UK-jobs
PES-University-1,Is it worth doing a PhD at PES University?,2,0,2/0,No,Followed,2020-05-01,https://www.quora.comhttps://www.quora.com/unanswered/Is-it-worth-doing-a-PhD-at-PES-University
PES-University-1,What should I do to get a good placement as an ECE student in PESU?,0,1,0/1,No,Requested,2020-05-01,https://www.quora.comhttps://www.quora.com/What-should-I-do-to-get-a-good-placement-as-an-ECE-student-in-PESU
PES-University-1,"For the PES University entrance exam, should we learn the whole 11 and 12 portion (like the whole book), or are there any important chapters which should be learned?",1,0,1/0,No,Followed,2020-04-30,https://www.quora.comhttps://www.quora.com/unanswered/For-the-PES-University-entrance-exam-should-we-learn-the-whole-11-and-12-portion-like-the-whole-book-or-are-there-any-important-chapters-which-should-be-learned
PES-University-1,Are the questions on the PES University entrance exam very high level or are they like the KCET and COMEDK exam?,1,4,1/4,No,Followed,2020-04-30,https://www.quora.comhttps://www.quora.com/Are-the-questions-on-the-PES-University-entrance-exam-very-high-level-or-are-they-like-the-KCET-and-COMEDK-exam
PES-University-1,What are the portions for the PES University entrance exam?,1,1,1/1,No,Followed,2020-04-30,https://www.quora.comhttps://www.quora.com/What-are-the-portions-for-the-PES-University-entrance-exam
PES-University-1,What is the placement procedure at PES University? What is the on-campus internship process for those who are in the 3rd year? What advice would you like to give for students in the third year?,1,1,1/1,No,Requested,2020-04-30,https://www.quora.comhttps://www.quora.com/What-is-the-placement-procedure-at-PES-University-What-is-the-on-campus-internship-process-for-those-who-are-in-the-3rd-year-What-advice-would-you-like-to-give-for-students-in-the-third-year
PES-University-1,Can we go out of PES University campus when we are having a break or like a leisure time (for 1st year)?,1,3,1/3,No,Followed,2020-04-30,https://www.quora.comhttps://www.quora.com/Can-we-go-out-of-PES-University-campus-when-we-are-having-a-break-or-like-a-leisure-time-for-1st-year
PES-University-1,"Can we go out of PES University when we have a break time, or do we have to stay in college?",1,2,1/2,No,Followed,2020-04-30,https://www.quora.comhttps://www.quora.com/Can-we-go-out-of-PES-University-when-we-have-a-break-time-or-do-we-have-to-stay-in-college
PES-University-1,How is PES University planning to conduct ESA after the pandemic ends?,2,0,2/0,No,Followed,2020-04-29,https://www.quora.comhttps://www.quora.com/unanswered/How-is-PES-University-planning-to-conduct-ESA-after-the-pandemic-ends
PES-University-1,What are some research initiatives that PES University is pursuing in the coming years?,2,0,2/0,No,Followed,2020-04-29,https://www.quora.comhttps://www.quora.com/unanswered/What-are-some-research-initiatives-that-PES-University-is-pursuing-in-the-coming-years
PES-University-1,"Which college should I choose, MSRIT or PES?",1,1,1/1,No,Followed,2020-04-28,https://www.quora.comhttps://www.quora.com/Which-college-should-I-choose-MSRIT-or-PES
PES-University-1,What rank and marks should I get to get into CSE in PES College?,1,0,1/0,No,Followed,2020-04-27,https://www.quora.comhttps://www.quora.com/unanswered/What-rank-and-marks-should-I-get-to-get-into-CSE-in-PES-College
PES-University-1,"Which business school is good, PES University or IBS, which are both located in Bangalore?",1,1,1/1,No,Followed,2020-05-21,https://www.quora.comhttps://www.quora.com/Which-business-school-is-good-PES-University-or-IBS-which-are-both-located-in-Bangalore
PES-University-1,What is the machine learning behind FIFA and PES commentary?,2,0,2/0,No,Followed,2020-05-10,https://www.quora.comhttps://www.quora.com/unanswered/What-is-the-machine-learning-behind-FIFA-and-PES-commentary
PES-University-1,Is the Masters League on PES 2020 offline?,2,0,2/0,No,Followed,2020-04-23,https://www.quora.comhttps://www.quora.com/unanswered/Is-the-Masters-League-on-PES-2020-offline
PES-University-1,Can you do CPU vs. CPU games in PES 2020 Lite?,1,0,1/0,No,Followed,2020-04-23,https://www.quora.comhttps://www.quora.com/unanswered/Can-you-do-CPU-vs-CPU-games-in-PES-2020-Lite
PES-University-1,"Will PES Bengaluru, allowing a branch shift this year, ignore this coronavirus crisis?",1,1,1/1,No,Requested,2020-04-22,https://www.quora.comhttps://www.quora.com/Will-PES-Bengaluru-allowing-a-branch-shift-this-year-ignore-this-coronavirus-crisis
PES-University-1,"How is product design at PES, and how are the placements as well as coaching?",0,0,0/0,No,Requested,2020-04-19,https://www.quora.comhttps://www.quora.com/unanswered/How-is-product-design-at-PES-and-how-are-the-placements-as-well-as-coaching
PES-University-1,"Should I pay Great Learning for blocking seats with Mtech in Data Science, PES University, Bangalore? Are they genuine?",1,0,1/0,No,Followed,2020-04-18,https://www.quora.comhttps://www.quora.com/unanswered/Should-I-pay-Great-Learning-for-blocking-seats-with-Mtech-in-Data-Science-PES-University-Bangalore-Are-they-genuine
PES-University-1,"Is an MTech in data science and machine learning offered by Great Learning in collaboration with PES University, Bangalore?",3,0,3/0,No,Followed,2020-06-02,https://www.quora.comhttps://www.quora.com/unanswered/Is-an-MTech-in-data-science-and-machine-learning-offered-by-Great-Learning-in-collaboration-with-PES-University-Bangalore
PES-University-1,Do you think PES 20 killed FIFA 20 this year?,1,0,1/0,No,Followed,2020-04-17,https://www.quora.comhttps://www.quora.com/unanswered/Do-you-think-PES-20-killed-FIFA-20-this-year
PES-University-1,"What is the best Centre back combination to use in PES 2020 mobile, especially to stop featured Mbappe?",1,3,1/3,No,Followed,2020-04-16,https://www.quora.comhttps://www.quora.com/What-is-the-best-Centre-back-combination-to-use-in-PES-2020-mobile-especially-to-stop-featured-Mbappe
PES-University-1,Is it better to go to a lighter design college like PES or a better college like Srishti (but tougher coursework) if you are trying to do a second attempt for UCEED and NID?,1,1,1/1,No,Followed,2020-04-16,https://www.quora.comhttps://www.quora.com/Is-it-better-to-go-to-a-lighter-design-college-like-PES-or-a-better-college-like-Srishti-but-tougher-coursework-if-you-are-trying-to-do-a-second-attempt-for-UCEED-and-NID
PES-University-1,"After a BE in CSE, does PES University help us in doing an MS in Computer Science in foreign countries?",2,2,2/2,No,Followed,2020-04-16,https://www.quora.comhttps://www.quora.com/After-a-BE-in-CSE-does-PES-University-help-us-in-doing-an-MS-in-Computer-Science-in-foreign-countries
PES-University-1,Pes 2018? How do I get the defence line into controll so that they don't overlap,1,0,1/0,No,Followed,2020-04-14,https://www.quora.comhttps://www.quora.com/unanswered/Pes-2018-How-do-I-get-the-defence-line-into-controll-so-that-they-dont-overlap
PES-University-1,Can PES B4 be eligible to become a captain or 1st lieutenant upon graduating with a medical degree?,1,0,1/0,No,Followed,2020-04-13,https://www.quora.comhttps://www.quora.com/unanswered/Can-PES-B4-be-eligible-to-become-a-captain-or-1st-lieutenant-upon-graduating-with-a-medical-degree
PES-University-1,"What happens if I set ""none"" on the release fee for my player in the PES Master League?",0,0,0/0,No,Requested,2020-04-12,https://www.quora.comhttps://www.quora.com/unanswered/What-happens-if-I-set-none-on-the-release-fee-for-my-player-in-the-PES-Master-League
PES-University-1,Which is the biggest box draw in PES Mobile?,1,0,1/0,No,Followed,2020-04-08,https://www.quora.comhttps://www.quora.com/unanswered/Which-is-the-biggest-box-draw-in-PES-Mobile
